,align,choice,time,coherence,firing_rate
0,dots,T1,-80,0.0,33.1899674031
1,dots,T1,-80,3.2,31.6917255152
2,dots,T1,-80,6.4,34.2798399644
3,dots,T1,-80,12.8,32.6318742985
4,dots,T1,-80,25.6,35.0604874577
5,dots,T1,-80,51.2,34.9875710227
6,dots,T1,-60,0.0,32.8685258964
7,dots,T1,-60,3.2,35.119047619
8,dots,T1,-60,6.4,34.8410757946
9,dots,T1,-60,12.8,35.6481481481
10,dots,T1,-60,25.6,33.6105675147
11,dots,T1,-60,51.2,34.27734375
12,dots,T1,-40,0.0,34.561752988
13,dots,T1,-40,3.2,34.8958333333
14,dots,T1,-40,6.4,34.9633251834
15,dots,T1,-40,12.8,36.4711934156
16,dots,T1,-40,25.6,32.5342465753
17,dots,T1,-40,51.2,35.009765625
18,dots,T1,-20,0.0,35.3585657371
19,dots,T1,-20,3.2,31.1011904762
20,dots,T1,-20,6.4,35.5134474328
21,dots,T1,-20,12.8,34.5164609053
22,dots,T1,-20,25.6,34.7847358121
23,dots,T1,-20,51.2,36.669921875
24,dots,T1,0,0.0,36.2549800797
25,dots,T1,0,3.2,32.3660714286
26,dots,T1,0,6.4,36.9193154034
27,dots,T1,0,12.8,35.6995884774
28,dots,T1,0,25.6,35.8610567515
29,dots,T1,0,51.2,37.060546875
30,dots,T1,20,0.0,38.4960159363
31,dots,T1,20,3.2,33.4821428571
32,dots,T1,20,6.4,36.1858190709
33,dots,T1,20,12.8,36.0082304527
34,dots,T1,20,25.6,34.8825831703
35,dots,T1,20,51.2,35.888671875
36,dots,T1,40,0.0,36.2051792829
37,dots,T1,40,3.2,34.375
38,dots,T1,40,6.4,36.7970660147
39,dots,T1,40,12.8,35.3909465021
40,dots,T1,40,25.6,36.9863013699
41,dots,T1,40,51.2,36.279296875
42,dots,T1,60,0.0,34.7609561753
43,dots,T1,60,3.2,34.6726190476
44,dots,T1,60,6.4,38.2029339853
45,dots,T1,60,12.8,35.6481481481
46,dots,T1,60,25.6,38.0136986301
47,dots,T1,60,51.2,37.79296875
48,dots,T1,80,0.0,36.5537848606
49,dots,T1,80,3.2,32.3660714286
50,dots,T1,80,6.4,35.5745721271
51,dots,T1,80,12.8,33.7448559671
52,dots,T1,80,25.6,35.5675146771
53,dots,T1,80,51.2,37.353515625
54,dots,T1,100,0.0,33.515936255
55,dots,T1,100,3.2,31.5476190476
56,dots,T1,100,6.4,33.0073349633
57,dots,T1,100,12.8,32.2666032773
58,dots,T1,100,25.6,32.28962818
59,dots,T1,100,51.2,35.25390625
60,dots,T1,120,0.0,31.6733067729
61,dots,T1,120,3.2,30.8779761905
62,dots,T1,120,6.4,31.9682151589
63,dots,T1,120,12.8,32.7986405205
64,dots,T1,120,25.6,29.6966731898
65,dots,T1,120,51.2,33.349609375
66,dots,T1,140,0.0,32.1215139442
67,dots,T1,140,3.2,30.0970758473
68,dots,T1,140,6.4,31.173594132
69,dots,T1,140,12.8,31.1927760396
70,dots,T1,140,25.6,29.3052837573
71,dots,T1,140,51.2,31.3593367034
72,dots,T1,160,0.0,34.4621513944
73,dots,T1,160,3.2,33.0191183554
74,dots,T1,160,6.4,33.6797066015
75,dots,T1,160,12.8,31.9922938189
76,dots,T1,160,25.6,33.0684130789
77,dots,T1,160,51.2,31.4144049073
78,dots,T1,180,0.0,37.5857760456
79,dots,T1,180,3.2,39.206226297
80,dots,T1,180,6.4,38.4799298148
81,dots,T1,180,12.8,38.2790725256
82,dots,T1,180,25.6,38.0283572714
83,dots,T1,180,51.2,35.2981969562
84,dots,T1,200,0.0,41.3876308811
85,dots,T1,200,3.2,43.0009045681
86,dots,T1,200,6.4,42.8315775134
87,dots,T1,200,12.8,44.1881669593
88,dots,T1,200,25.6,43.2053130261
89,dots,T1,200,51.2,44.0021276055
90,dots,T1,220,0.0,45.2145741795
91,dots,T1,220,3.2,44.0531572195
92,dots,T1,220,6.4,44.5503067614
93,dots,T1,220,12.8,46.0072153238
94,dots,T1,220,25.6,46.6656178604
95,dots,T1,220,51.2,49.4455590075
96,dots,T1,240,0.0,44.426667193
97,dots,T1,240,3.2,45.5579976408
98,dots,T1,240,6.4,45.3353150482
99,dots,T1,240,12.8,45.2545114631
100,dots,T1,240,25.6,48.057998072
101,dots,T1,240,51.2,52.8138549965
102,dots,T1,260,0.0,43.5176761377
103,dots,T1,260,3.2,46.4806723604
104,dots,T1,260,6.4,45.975678826
105,dots,T1,260,12.8,45.978011874
106,dots,T1,260,25.6,51.49830443
107,dots,T1,260,51.2,56.0062634769
108,dots,T1,280,0.0,45.183845031
109,dots,T1,280,3.2,46.7680543787
110,dots,T1,280,6.4,47.6079465912
111,dots,T1,280,12.8,49.4179484906
112,dots,T1,280,25.6,53.4063507726
113,dots,T1,280,51.2,56.5709270698
114,dots,T1,300,0.0,44.5806310958
115,dots,T1,300,3.2,47.7403311288
116,dots,T1,300,6.4,47.9453145595
117,dots,T1,300,12.8,50.884901111
118,dots,T1,300,25.6,53.9921770122
119,dots,T1,320,0.0,42.1883499648
120,dots,T1,320,3.2,46.1091773662
121,dots,T1,320,6.4,46.9297722083
122,dots,T1,320,12.8,50.5475711692
123,dots,T1,320,25.6,54.2706099715
124,dots,T1,340,0.0,41.7881832087
125,dots,T1,340,3.2,45.6333595786
126,dots,T1,340,6.4,47.6741978356
127,dots,T1,340,12.8,49.8453330566
128,dots,T1,340,25.6,55.4833048133
129,dots,T1,360,0.0,43.8889398626
130,dots,T1,360,3.2,47.8811790178
131,dots,T1,360,6.4,50.4307958419
132,dots,T1,360,12.8,50.5637453923
133,dots,T1,360,25.6,57.6132002761
134,dots,T1,380,0.0,46.7939865745
135,dots,T1,380,3.2,46.0362955566
136,dots,T1,380,6.4,50.2350060629
137,dots,T1,380,12.8,51.839563305
138,dots,T1,380,25.6,57.9308464384
139,dots,T1,400,0.0,45.4823942827
140,dots,T1,400,3.2,45.3563633893
141,dots,T1,400,6.4,48.816525836
142,dots,T1,400,12.8,52.3134685064
143,dots,T1,400,25.6,58.2719153733
144,dots,T1,420,0.0,45.2294029647
145,dots,T1,420,3.2,47.370806321
146,dots,T1,420,6.4,51.0426760675
147,dots,T1,420,12.8,54.3442280151
148,dots,T1,420,25.6,58.7792250482
149,dots,T1,440,0.0,47.5705138296
150,dots,T1,440,3.2,47.8962913334
151,dots,T1,440,6.4,52.8451380575
152,dots,T1,440,12.8,56.5905120229
153,dots,T1,460,0.0,47.9965125796
154,dots,T1,460,3.2,49.7589895528
155,dots,T1,460,6.4,54.6071568221
156,dots,T1,460,12.8,57.6417931949
157,dots,T1,480,0.0,47.4221784572
158,dots,T1,480,3.2,50.2088029789
159,dots,T1,480,6.4,56.3631120383
160,dots,T1,480,12.8,57.336239303
161,dots,T1,500,0.0,48.4253715445
162,dots,T1,500,3.2,49.8924509929
163,dots,T1,500,6.4,56.3159583107
164,dots,T1,500,12.8,57.8834341936
165,dots,T1,520,0.0,49.8483600507
166,dots,T1,520,3.2,49.395357585
167,dots,T1,520,6.4,55.6257450533
168,dots,T1,520,12.8,56.7031475447
169,dots,T1,540,0.0,51.4958439254
170,dots,T1,540,3.2,48.066627973
171,dots,T1,540,6.4,52.6625406001
172,dots,T1,540,12.8,56.5965566665
173,dots,T1,560,0.0,53.8839724539
174,dots,T1,560,3.2,48.6514774419
175,dots,T1,560,6.4,51.2677935943
176,dots,T1,560,12.8,57.4458518599
177,dots,T1,580,0.0,53.0430826028
178,dots,T1,580,3.2,50.928916973
179,dots,T1,580,6.4,55.3879064133
180,dots,T1,600,0.0,52.1063146794
181,dots,T1,600,3.2,50.4609948656
182,dots,T1,600,6.4,58.3763412771
183,dots,T1,620,0.0,51.9722589882
184,dots,T1,620,3.2,49.6072463942
185,dots,T1,620,6.4,58.4313296726
186,dots,T1,640,0.0,51.4946850007
187,dots,T1,640,3.2,53.7183234006
188,dots,T1,660,0.0,51.3666266822
189,dots,T1,660,3.2,56.9613202683
190,dots,T1,680,0.0,52.6740476122
191,dots,T1,680,3.2,57.0799478842
192,dots,T1,700,0.0,52.6806817764
193,dots,T1,720,0.0,51.299586053
194,dots,T2,-80,0.0,34.9701072622
195,dots,T2,-80,3.2,36.7858148044
196,dots,T2,-80,6.4,34.4785059901
197,dots,T2,-80,12.8,34.9914236707
198,dots,T2,-80,25.6,32.2415329768
199,dots,T2,-80,51.2,32.6330162086
200,dots,T2,-60,0.0,33.8491295938
201,dots,T2,-60,3.2,35.6811145511
202,dots,T2,-60,6.4,35.5943152455
203,dots,T2,-60,12.8,33.2285115304
204,dots,T2,-60,25.6,34.0196078431
205,dots,T2,-60,51.2,33.8662790698
206,dots,T2,-40,0.0,35.2030947776
207,dots,T2,-40,3.2,35.5263157895
208,dots,T2,-40,6.4,35.0129198966
209,dots,T2,-40,12.8,34.9056603774
210,dots,T2,-40,25.6,34.7058823529
211,dots,T2,-40,51.2,33.0910852713
212,dots,T2,-20,0.0,35.1063829787
213,dots,T2,-20,3.2,34.9845201238
214,dots,T2,-20,6.4,36.3695090439
215,dots,T2,-20,12.8,36.320754717
216,dots,T2,-20,25.6,34.8529411765
217,dots,T2,-20,51.2,35.3197674419
218,dots,T2,0,0.0,34.1392649903
219,dots,T2,0,3.2,36.1455108359
220,dots,T2,0,6.4,37.8552971576
221,dots,T2,0,12.8,36.0062893082
222,dots,T2,0,25.6,34.4117647059
223,dots,T2,0,51.2,35.6104651163
224,dots,T2,20,0.0,35.9767891683
225,dots,T2,20,3.2,38.3900928793
226,dots,T2,20,6.4,36.9509043928
227,dots,T2,20,12.8,36.8972746331
228,dots,T2,20,25.6,34.362745098
229,dots,T2,20,51.2,33.8178294574
230,dots,T2,40,0.0,36.3636363636
231,dots,T2,40,3.2,40.4024767802
232,dots,T2,40,6.4,35.9819121447
233,dots,T2,40,12.8,37.8406708595
234,dots,T2,40,25.6,35.9803921569
235,dots,T2,40,51.2,36.1918604651
236,dots,T2,60,0.0,34.7195357834
237,dots,T2,60,3.2,37.4613003096
238,dots,T2,60,6.4,35.4005167959
239,dots,T2,60,12.8,37.0545073375
240,dots,T2,60,25.6,35.8823529412
241,dots,T2,60,51.2,37.8391472868
242,dots,T2,80,0.0,35.3965183752
243,dots,T2,80,3.2,34.0557275542
244,dots,T2,80,6.4,33.5917312661
245,dots,T2,80,12.8,36.0062893082
246,dots,T2,80,25.6,35.3431372549
247,dots,T2,80,51.2,35.6589147287
248,dots,T2,100,0.0,31.8665377176
249,dots,T2,100,3.2,33.2817337461
250,dots,T2,100,6.4,31.3953488372
251,dots,T2,100,12.8,33.3333333333
252,dots,T2,100,25.6,33.6764705882
253,dots,T2,100,51.2,32.6550387597
254,dots,T2,120,0.0,29.6905222437
255,dots,T2,120,3.2,32.1207430341
256,dots,T2,120,6.4,30.9492892804
257,dots,T2,120,12.8,30.5063756889
258,dots,T2,120,25.6,31.2745098039
259,dots,T2,120,51.2,30.6686046512
260,dots,T2,140,0.0,31.5280464217
261,dots,T2,140,3.2,30.572755418
262,dots,T2,140,6.4,32.4888754083
263,dots,T2,140,12.8,30.6956495116
264,dots,T2,140,25.6,31.3725490196
265,dots,T2,140,51.2,31.4084685455
266,dots,T2,160,0.0,33.4622823985
267,dots,T2,160,3.2,31.9399161621
268,dots,T2,160,6.4,34.1883327301
269,dots,T2,160,12.8,33.4109778842
270,dots,T2,160,25.6,33.0303469437
271,dots,T2,160,51.2,33.4367357364
272,dots,T2,180,0.0,38.2070547501
273,dots,T2,180,3.2,37.8712163752
274,dots,T2,180,6.4,38.5042012826
275,dots,T2,180,12.8,38.4719004777
276,dots,T2,180,25.6,37.0775301438
277,dots,T2,180,51.2,38.2633844689
278,dots,T2,200,0.0,42.7578085722
279,dots,T2,200,3.2,42.2897196262
280,dots,T2,200,6.4,42.9949986829
281,dots,T2,200,12.8,41.5088392695
282,dots,T2,200,25.6,41.8176444453
283,dots,T2,200,51.2,43.1074684774
284,dots,T2,220,0.0,44.5909389003
285,dots,T2,220,3.2,45.3417177461
286,dots,T2,220,6.4,45.4000593486
287,dots,T2,220,12.8,41.8565530425
288,dots,T2,220,25.6,42.4234549444
289,dots,T2,220,51.2,40.6228763776
290,dots,T2,240,0.0,43.3291259446
291,dots,T2,240,3.2,45.5698126733
292,dots,T2,240,6.4,46.0860105176
293,dots,T2,240,12.8,41.9135577374
294,dots,T2,240,25.6,39.0738361103
295,dots,T2,240,51.2,37.4852335411
296,dots,T2,260,0.0,43.3132225106
297,dots,T2,260,3.2,43.3325723491
298,dots,T2,260,6.4,43.3791616022
299,dots,T2,260,12.8,41.9109630979
300,dots,T2,260,25.6,37.912397605
301,dots,T2,260,51.2,36.7127196352
302,dots,T2,280,0.0,44.0351005894
303,dots,T2,280,3.2,40.7781018409
304,dots,T2,280,6.4,42.3074505091
305,dots,T2,280,12.8,38.8754812498
306,dots,T2,280,25.6,38.1344925275
307,dots,T2,280,51.2,35.9808003647
308,dots,T2,300,0.0,42.9985009362
309,dots,T2,300,3.2,40.6293355403
310,dots,T2,300,6.4,42.5742920171
311,dots,T2,300,12.8,37.7958539325
312,dots,T2,300,25.6,36.2919354435
313,dots,T2,300,51.2,34.1760123767
314,dots,T2,320,0.0,39.8459992058
315,dots,T2,320,3.2,38.6301686727
316,dots,T2,320,6.4,41.2207626677
317,dots,T2,320,12.8,35.5155038833
318,dots,T2,320,25.6,33.6229546792
319,dots,T2,320,51.2,33.7686320342
320,dots,T2,340,0.0,38.294630264
321,dots,T2,340,3.2,39.2359539907
322,dots,T2,340,6.4,41.5255817987
323,dots,T2,340,12.8,34.3093086994
324,dots,T2,340,25.6,31.1869789361
325,dots,T2,360,0.0,38.7832089442
326,dots,T2,360,3.2,40.5201660452
327,dots,T2,360,6.4,40.2438173059
328,dots,T2,360,12.8,37.3473010589
329,dots,T2,360,25.6,30.9096204221
330,dots,T2,380,0.0,37.7037571598
331,dots,T2,380,3.2,37.8557504873
332,dots,T2,380,6.4,38.1466711944
333,dots,T2,380,12.8,36.4564971115
334,dots,T2,380,25.6,30.4264563351
335,dots,T2,400,0.0,39.742881112
336,dots,T2,400,3.2,37.7696727599
337,dots,T2,400,6.4,37.282919343
338,dots,T2,400,12.8,36.5347678542
339,dots,T2,400,25.6,27.8518122463
340,dots,T2,420,0.0,41.3684007973
341,dots,T2,420,3.2,38.8926908711
342,dots,T2,420,6.4,36.7202937136
343,dots,T2,420,12.8,35.1082370207
344,dots,T2,420,25.6,27.861418733
345,dots,T2,440,0.0,40.6496445189
346,dots,T2,440,3.2,39.9098650911
347,dots,T2,440,6.4,38.0156523023
348,dots,T2,440,12.8,35.2694954062
349,dots,T2,440,25.6,29.81667219
350,dots,T2,460,0.0,42.7507271759
351,dots,T2,460,3.2,39.6852155867
352,dots,T2,460,6.4,38.520175851
353,dots,T2,460,12.8,36.5036817188
354,dots,T2,480,0.0,41.6795939186
355,dots,T2,480,3.2,38.2746541855
356,dots,T2,480,6.4,38.0980698037
357,dots,T2,480,12.8,34.0660031252
358,dots,T2,500,0.0,38.0762367984
359,dots,T2,500,3.2,38.7038940633
360,dots,T2,500,6.4,39.399412391
361,dots,T2,500,12.8,36.6778056607
362,dots,T2,520,0.0,40.3020387251
363,dots,T2,520,3.2,38.768191293
364,dots,T2,520,6.4,37.1402778543
365,dots,T2,520,12.8,36.8786473739
366,dots,T2,540,0.0,41.3666539656
367,dots,T2,540,3.2,37.1782371295
368,dots,T2,540,6.4,35.8263885332
369,dots,T2,540,12.8,33.7657325009
370,dots,T2,560,0.0,42.1411371631
371,dots,T2,560,3.2,39.4878074198
372,dots,T2,560,6.4,36.8214417656
373,dots,T2,560,12.8,33.73267699
374,dots,T2,580,0.0,40.6285403536
375,dots,T2,580,3.2,41.2384548086
376,dots,T2,580,6.4,36.1422793814
377,dots,T2,600,0.0,38.626129285
378,dots,T2,600,3.2,38.9859711621
379,dots,T2,600,6.4,36.4593012697
380,dots,T2,620,0.0,41.6313731495
381,dots,T2,620,3.2,40.9941162703
382,dots,T2,620,6.4,35.3408471901
383,dots,T2,640,0.0,41.3093764734
384,dots,T2,640,3.2,42.9420765936
385,dots,T2,640,6.4,37.8523264371
386,dots,T2,660,0.0,40.65999957
387,dots,T2,660,3.2,39.3419135381
388,dots,T2,680,0.0,42.454915858
389,dots,T2,680,3.2,37.8062672369
390,dots,T2,700,0.0,43.4649588514
391,dots,T2,700,3.2,38.994559118
392,dots,T2,720,0.0,41.9871213179
393,dots,T2,720,3.2,41.7160565573
